Model,Accuracy,Precision,Recall,F1 Score
Random Forest,0.8793,0.9067387426227302,0.8793,0.8803764153613998
XGBoost,0.8698,0.9042591647905014,0.8698,0.8714774597621648
LSTM,0.9665,0.9686398094497457,0.9665,0.9662250965440288
Adaptive Hybrid,0.9385,0.9478884963261603,0.9385,0.9367823545591922
